row_count,field_count,field_name_values,issuedate_min,issuedate_max,new_class_unique_count,new_class_unique_values,new_type_unique_count,new_type_unique_values,usetype_unique_count,usetype_values,units_unique_count,units_unique_values,value_unique_count,value_unique_values,sqft_unique_count,sqft_unique_values,nbrhood_unique_count,nbrhood_unique_values
,,,,,,,,,,,,,,43910,,1085,,
,,,,,,,,,,,,,,44000,,1086,,
,,,,,,,,,,,,,,44166,,1087,,
,,,,,,,,,,,,,,44186,,1088,,
,,,,,,,,,,,,,,44530,,1089,,
,,,,,,,,,,,,,,44535,,1090,,
,,,,,,,,,,,,,,44667,,1092,,
,,,,,,,,,,,,,,44722,,1093,,
,,,,,,,,,,,,,,44814,,1095,,
,,,,,,,,,,,,,,44822,,1096,,
,,,,,,,,,,,,,,44930,,1097,,
,,,,,,,,,,,,,,44943,,1098,,
,,,,,,,,,,,,,,45000,,1100,,
,,,,,,,,,,,,,,45057,,1101,,
,,,,,,,,,,,,,,45204,,1102,,
,,,,,,,,,,,,,,45219,,1103,,
,,,,,,,,,,,,,,45277,,1104,,
,,,,,,,,,,,,,,45309,,1105,,
,,,,,,,,,,,,,,45374,,1106,,
,,,,,,,,,,,,,,45512,,1107,,
,,,,,,,,,,,,,,45557,,1108,,
,,,,,,,,,,,,,,45566,,1110,,
,,,,,,,,,,,,,,45616,,1112,,
,,,,,,,,,,,,,,45710,,1113,,
,,,,,,,,,,,,,,45800,,1114,,
,,,,,,,,,,,,,,45815,,1116,,
,,,,,,,,,,,,,,45916,,1118,,
,,,,,,,,,,,,,,45956,,1119,,
,,,,,,,,,,,,,,46000,,1120,,
,,,,,,,,,,,,,,46015,,1121,,
,,,,,,,,,,,,,,46260,,1122,,
,,,,,,,,,,,,,,46455,,1123,,
,,,,,,,,,,,,,,46505,,1124,,
,,,,,,,,,,,,,,46602,,1125,,
,,,,,,,,,,,,,,46673,,1126,,
,,,,,,,,,,,,,,46704,,1127,,
,,,,,,,,,,,,,,46764,,1128,,
,,,,,,,,,,,,,,47000,,1129,,
,,,,,,,,,,,,,,47030,,1130,,
,,,,,,,,,,,,,,47263,,1132,,
,,,,,,,,,,,,,,47303,,1133,,
,,,,,,,,,,,,,,47312,,1134,,
,,,,,,,,,,,,,,47437,,1135,,
,,,,,,,,,,,,,,47502,,1136,,
,,,,,,,,,,,,,,47645,,1137,,
,,,,,,,,,,,,,,47678,,1138,,
,,,,,,,,,,,,,,47827,,1139,,
,,,,,,,,,,,,,,47843,,1140,,
,,,,,,,,,,,,,,48000,,1142,,
,,,,,,,,,,,,,,48150,,1143,,
,,,,,,,,,,,,,,48403,,1144,,
,,,,,,,,,,,,,,48485,,1145,,
,,,,,,,,,,,,,,48500,,1146,,
,,,,,,,,,,,,,,48510,,1147,,
,,,,,,,,,,,,,,48519,,1148,,
,,,,,,,,,,,,,,48528,,1149,,
,,,,,,,,,,,,,,48734,,1150,,
,,,,,,,,,,,,,,48738,,1152,,
,,,,,,,,,,,,,,48828,,1153,,
,,,,,,,,,,,,,,48914,,1155,,
,,,,,,,,,,,,,,48969,,1156,,
,,,,,,,,,,,,,,48975,,1157,,
,,,,,,,,,,,,,,49000,,1158,,
,,,,,,,,,,,,,,49110,,1159,,
,,,,,,,,,,,,,,49171,,1160,,
,,,,,,,,,,,,,,49305,,1161,,
,,,,,,,,,,,,,,49344,,1163,,
,,,,,,,,,,,,,,49364,,1164,,
,,,,,,,,,,,,,,49410,,1165,,
,,,,,,,,,,,,,,49505,,1166,,
,,,,,,,,,,,,,,49610,,1168,,
,,,,,,,,,,,,,,49631,,1169,,
,,,,,,,,,,,,,,49723,,1170,,
,,,,,,,,,,,,,,49728,,1171,,
,,,,,,,,,,,,,,49786,,1173,,
,,,,,,,,,,,,,,49884,,1174,,
,,,,,,,,,,,,,,49896,,1175,,
,,,,,,,,,,,,,,49947,,1176,,
,,,,,,,,,,,,,,49954,,1180,,
,,,,,,,,,,,,,,49958,,1181,,
,,,,,,,,,,,,,,50000,,1183,,
,,,,,,,,,,,,,,50008,,1184,,
,,,,,,,,,,,,,,50060,,1185,,
,,,,,,,,,,,,,,50193,,1186,,
,,,,,,,,,,,,,,50227,,1188,,
,,,,,,,,,,,,,,50292,,1189,,
,,,,,,,,,,,,,,50341,,1190,,
,,,,,,,,,,,,,,50380,,1191,,
,,,,,,,,,,,,,,50450,,1192,,
,,,,,,,,,,,,,,50500,,1194,,
,,,,,,,,,,,,,,50534,,1195,,
,,,,,,,,,,,,,,50600,,1196,,
,,,,,,,,,,,,,,50669,,1197,,
,,,,,,,,,,,,,,50835,,1198,,
,,,,,,,,,,,,,,50917,,1199,,
,,,,,,,,,,,,,,50918,,1200,,
,,,,,,,,,,,,,,50952,,1202,,
,,,,,,,,,,,,,,50970,,1203,,
,,,,,,,,,,,,,,50975,,1204,,
,,,,,,,,,,,,,,51000,,1205,,
,,,,,,,,,,,,,,51018,,1206,,
,,,,,,,,,,,,,,51129,,1207,,
,,,,,,,,,,,,,,51200,,1208,,
,,,,,,,,,,,,,,51242,,1209,,
,,,,,,,,,,,,,,51283,,1210,,
,,,,,,,,,,,,,,51348,,1211,,
,,,,,,,,,,,,,,51493,,1212,,
,,,,,,,,,,,,,,51530,,1213,,
,,,,,,,,,,,,,,51541,,1214,,
,,,,,,,,,,,,,,51559,,1215,,
,,,,,,,,,,,,,,51799,,1216,,
,,,,,,,,,,,,,,51890,,1218,,
,,,,,,,,,,,,,,51891,,1219,,
,,,,,,,,,,,,,,51927,,1220,,
,,,,,,,,,,,,,,51954,,1221,,
,,,,,,,,,,,,,,51955,,1222,,
,,,,,,,,,,,,,,51971,,1224,,
,,,,,,,,,,,,,,52000,,1225,,
,,,,,,,,,,,,,,52021,,1226,,
,,,,,,,,,,,,,,52070,,1228,,
,,,,,,,,,,,,,,52071,,1230,,
,,,,,,,,,,,,,,52091,,1232,,
,,,,,,,,,,,,,,52160,,1233,,
,,,,,,,,,,,,,,52167,,1234,,
,,,,,,,,,,,,,,52261,,1235,,
,,,,,,,,,,,,,,52277,,1236,,
,,,,,,,,,,,,,,52320,,1237,,
,,,,,,,,,,,,,,52396,,1238,,
,,,,,,,,,,,,,,52431,,1240,,
,,,,,,,,,,,,,,52446,,1241,,
,,,,,,,,,,,,,,52632,,1242,,
,,,,,,,,,,,,,,52668,,1243,,
,,,,,,,,,,,,,,52674,,1244,,
,,,,,,,,,,,,,,52702,,1245,,
,,,,,,,,,,,,,,52719,,1246,,
,,,,,,,,,,,,,,52728,,1247,,
,,,,,,,,,,,,,,52733,,1248,,
,,,,,,,,,,,,,,52760,,1249,,
,,,,,,,,,,,,,,52764,,1250,,
,,,,,,,,,,,,,,52862,,1251,,
,,,,,,,,,,,,,,52893,,1252,,
,,,,,,,,,,,,,,53000,,1253,,
,,,,,,,,,,,,,,53091,,1254,,
,,,,,,,,,,,,,,53251,,1255,,
,,,,,,,,,,,,,,53312,,1256,,
,,,,,,,,,,,,,,53353,,1258,,
,,,,,,,,,,,,,,53354,,1259,,
,,,,,,,,,,,,,,53379,,1260,,
,,,,,,,,,,,,,,53471,,1261,,
,,,,,,,,,,,,,,53519,,1264,,
,,,,,,,,,,,,,,53523,,1266,,
,,,,,,,,,,,,,,53540,,1268,,
,,,,,,,,,,,,,,53557,,1269,,
,,,,,,,,,,,,,,53592,,1270,,
,,,,,,,,,,,,,,53601,,1272,,
,,,,,,,,,,,,,,53617,,1273,,
,,,,,,,,,,,,,,53649,,1275,,
,,,,,,,,,,,,,,53677,,1276,,
,,,,,,,,,,,,,,53738,,1279,,
,,,,,,,,,,,,,,53748,,1280,,
,,,,,,,,,,,,,,53750,,1281,,
,,,,,,,,,,,,,,53773,,1282,,
,,,,,,,,,,,,,,53854,,1284,,
,,,,,,,,,,,,,,53862,,1285,,
,,,,,,,,,,,,,,53868,,1286,,
,,,,,,,,,,,,,,53895,,1288,,
,,,,,,,,,,,,,,53964,,1289,,
,,,,,,,,,,,,,,53968,,1290,,
,,,,,,,,,,,,,,53970,,1291,,
,,,,,,,,,,,,,,54000,,1292,,
,,,,,,,,,,,,,,54007,,1293,,
,,,,,,,,,,,,,,54056,,1295,,
,,,,,,,,,,,,,,54079,,1296,,
,,,,,,,,,,,,,,54096,,1297,,
,,,,,,,,,,,,,,54101,,1298,,
,,,,,,,,,,,,,,54109,,1300,,
,,,,,,,,,,,,,,54119,,1301,,
,,,,,,,,,,,,,,54176,,1302,,
,,,,,,,,,,,,,,54177,,1303,,
,,,,,,,,,,,,,,54185,,1304,,
,,,,,,,,,,,,,,54226,,1305,,
,,,,,,,,,,,,,,54274,,1306,,
,,,,,,,,,,,,,,54276,,1307,,
,,,,,,,,,,,,,,54277,,1308,,
,,,,,,,,,,,,,,54289,,1310,,
,,,,,,,,,,,,,,54293,,1311,,
,,,,,,,,,,,,,,54331,,1312,,
,,,,,,,,,,,,,,54339,,1314,,
,,,,,,,,,,,,,,54364,,1315,,
,,,,,,,,,,,,,,54383,,1316,,
,,,,,,,,,,,,,,54431,,1317,,
,,,,,,,,,,,,,,54458,,1318,,
,,,,,,,,,,,,,,54459,,1319,,
,,,,,,,,,,,,,,54465,,1320,,
,,,,,,,,,,,,,,54549,,1322,,
,,,,,,,,,,,,,,54566,,1323,,
,,,,,,,,,,,,,,54590,,1324,,
,,,,,,,,,,,,,,54618,,1325,,
,,,,,,,,,,,,,,54713,,1326,,
,,,,,,,,,,,,,,54822,,1327,,
,,,,,,,,,,,,,,54925,,1328,,
,,,,,,,,,,,,,,54946,,1329,,
,,,,,,,,,,,,,,55000,,1330,,
,,,,,,,,,,,,,,55055,,1331,,
,,,,,,,,,,,,,,55079,,1332,,
,,,,,,,,,,,,,,55092,,1333,,
,,,,,,,,,,,,,,55126,,1334,,
,,,,,,,,,,,,,,55134,,1335,,
,,,,,,,,,,,,,,55145,,1336,,
,,,,,,,,,,,,,,55155,,1337,,
,,,,,,,,,,,,,,55218,,1338,,
,,,,,,,,,,,,,,55227,,1339,,
,,,,,,,,,,,,,,55237,,1340,,
,,,,,,,,,,,,,,55240,,1341,,
,,,,,,,,,,,,,,55251,,1342,,
,,,,,,,,,,,,,,55338,,1343,,
,,,,,,,,,,,,,,55373,,1344,,
,,,,,,,,,,,,,,55380,,1345,,
,,,,,,,,,,,,,,55439,,1346,,
,,,,,,,,,,,,,,55440,,1348,,
,,,,,,,,,,,,,,55493,,1350,,
,,,,,,,,,,,,,,55635,,1351,,
,,,,,,,,,,,,,,55688,,1352,,
,,,,,,,,,,,,,,55692,,1353,,
,,,,,,,,,,,,,,55722,,1354,,
,,,,,,,,,,,,,,55782,,1355,,
,,,,,,,,,,,,,,55783,,1356,,
,,,,,,,,,,,,,,55784,,1357,,
,,,,,,,,,,,,,,55828,,1359,,
,,,,,,,,,,,,,,55904,,1360,,
,,,,,,,,,,,,,,55907,,1362,,
,,,,,,,,,,,,,,55916,,1363,,
,,,,,,,,,,,,,,55963,,1364,,
,,,,,,,,,,,,,,56000,,1365,,
,,,,,,,,,,,,,,56020,,1366,,
,,,,,,,,,,,,,,56035,,1367,,
,,,,,,,,,,,,,,56058,,1368,,
,,,,,,,,,,,,,,56062,,1369,,
,,,,,,,,,,,,,,56253,,1370,,
,,,,,,,,,,,,,,56313,,1372,,
,,,,,,,,,,,,,,56324,,1373,,
,,,,,,,,,,,,,,56359,,1375,,
,,,,,,,,,,,,,,56365,,1376,,
,,,,,,,,,,,,,,56405,,1377,,
,,,,,,,,,,,,,,56466,,1378,,
,,,,,,,,,,,,,,56467,,1379,,
,,,,,,,,,,,,,,56472,,1380,,
,,,,,,,,,,,,,,56535,,1381,,
,,,,,,,,,,,,,,56538,,1382,,
,,,,,,,,,,,,,,56566,,1383,,
,,,,,,,,,,,,,,56657,,1384,,
,,,,,,,,,,,,,,56680,,1385,,
,,,,,,,,,,,,,,56694,,1386,,
,,,,,,,,,,,,,,56719,,1387,,
,,,,,,,,,,,,,,56754,,1388,,
,,,,,,,,,,,,,,56756,,1389,,
,,,,,,,,,,,,,,56763,,1390,,
,,,,,,,,,,,,,,56799,,1391,,
,,,,,,,,,,,,,,56848,,1392,,
,,,,,,,,,,,,,,56867,,1393,,
,,,,,,,,,,,,,,56870,,1394,,
,,,,,,,,,,,,,,56913,,1395,,
,,,,,,,,,,,,,,56960,,1396,,
,,,,,,,,,,,,,,56966,,1397,,
,,,,,,,,,,,,,,56971,,1398,,
,,,,,,,,,,,,,,56973,,1399,,
,,,,,,,,,,,,,,56994,,1400,,
,,,,,,,,,,,,,,57060,,1402,,
,,,,,,,,,,,,,,57071,,1403,,
,,,,,,,,,,,,,,57105,,1404,,
,,,,,,,,,,,,,,57147,,1405,,
,,,,,,,,,,,,,,57252,,1406,,
,,,,,,,,,,,,,,57253,,1407,,
,,,,,,,,,,,,,,57404,,1408,,
,,,,,,,,,,,,,,57413,,1409,,
,,,,,,,,,,,,,,57414,,1410,,
,,,,,,,,,,,,,,57443,,1411,,
,,,,,,,,,,,,,,57504,,1412,,
,,,,,,,,,,,,,,57567,,1413,,
,,,,,,,,,,,,,,57590,,1414,,
,,,,,,,,,,,,,,57621,,1415,,
,,,,,,,,,,,,,,57664,,1416,,
,,,,,,,,,,,,,,57665,,1417,,
,,,,,,,,,,,,,,57747,,1418,,
,,,,,,,,,,,,,,57812,,1419,,
,,,,,,,,,,,,,,57879,,1420,,
,,,,,,,,,,,,,,57900,,1421,,
,,,,,,,,,,,,,,57904,,1422,,
,,,,,,,,,,,,,,57907,,1423,,
,,,,,,,,,,,,,,57950,,1425,,
,,,,,,,,,,,,,,57958,,1426,,
,,,,,,,,,,,,,,57978,,1427,,
,,,,,,,,,,,,,,57994,,1428,,
,,,,,,,,,,,,,,58000,,1429,,
,,,,,,,,,,,,,,58094,,1430,,
,,,,,,,,,,,,,,58116,,1431,,
,,,,,,,,,,,,,,58131,,1432,,
,,,,,,,,,,,,,,58135,,1433,,
,,,,,,,,,,,,,,58177,,1434,,
,,,,,,,,,,,,,,58200,,1435,,
,,,,,,,,,,,,,,58230,,1436,,
,,,,,,,,,,,,,,58240,,1437,,
,,,,,,,,,,,,,,58288,,1438,,
,,,,,,,,,,,,,,58292,,1439,,
,,,,,,,,,,,,,,58364,,1440,,
,,,,,,,,,,,,,,58403,,1441,,
,,,,,,,,,,,,,,58423,,1442,,
,,,,,,,,,,,,,,58448,,1443,,
,,,,,,,,,,,,,,58454,,1444,,
,,,,,,,,,,,,,,58464,,1445,,
,,,,,,,,,,,,,,58473,,1446,,
,,,,,,,,,,,,,,58485,,1447,,
,,,,,,,,,,,,,,58569,,1448,,
,,,,,,,,,,,,,,58570,,1449,,
,,,,,,,,,,,,,,58653,,1450,,
,,,,,,,,,,,,,,58664,,1451,,
,,,,,,,,,,,,,,58694,,1452,,
,,,,,,,,,,,,,,58719,,1453,,
,,,,,,,,,,,,,,58742,,1454,,
,,,,,,,,,,,,,,58769,,1455,,
,,,,,,,,,,,,,,58794,,1456,,
,,,,,,,,,,,,,,58827,,1457,,
,,,,,,,,,,,,,,58892,,1458,,
,,,,,,,,,,,,,,58893,,1459,,
,,,,,,,,,,,,,,58923,,1460,,
,,,,,,,,,,,,,,58962,,1461,,
,,,,,,,,,,,,,,59010,,1462,,
,,,,,,,,,,,,,,59016,,1463,,
,,,,,,,,,,,,,,59017,,1464,,
,,,,,,,,,,,,,,59032,,1465,,
,,,,,,,,,,,,,,59037,,1466,,
,,,,,,,,,,,,,,59045,,1467,,
,,,,,,,,,,,,,,59064,,1468,,
,,,,,,,,,,,,,,59080,,1469,,
,,,,,,,,,,,,,,59102,,1470,,
,,,,,,,,,,,,,,59113,,1471,,
,,,,,,,,,,,,,,59136,,1473,,
,,,,,,,,,,,,,,59202,,1474,,
,,,,,,,,,,,,,,59204,,1475,,
,,,,,,,,,,,,,,59218,,1476,,
,,,,,,,,,,,,,,59228,,1477,,
,,,,,,,,,,,,,,59244,,1478,,
,,,,,,,,,,,,,,59285,,1479,,
,,,,,,,,,,,,,,59294,,1480,,
,,,,,,,,,,,,,,59296,,1481,,
,,,,,,,,,,,,,,59303,,1482,,
,,,,,,,,,,,,,,59320,,1483,,
,,,,,,,,,,,,,,59331,,1484,,
,,,,,,,,,,,,,,59341,,1485,,
,,,,,,,,,,,,,,59359,,1486,,
,,,,,,,,,,,,,,59366,,1488,,
,,,,,,,,,,,,,,59453,,1489,,
,,,,,,,,,,,,,,59459,,1490,,
,,,,,,,,,,,,,,59466,,1492,,
,,,,,,,,,,,,,,59488,,1493,,
,,,,,,,,,,,,,,59517,,1494,,
,,,,,,,,,,,,,,59547,,1495,,
,,,,,,,,,,,,,,59557,,1496,,
,,,,,,,,,,,,,,59566,,1497,,
,,,,,,,,,,,,,,59605,,1498,,
,,,,,,,,,,,,,,59611,,1499,,
,,,,,,,,,,,,,,59633,,1500,,
,,,,,,,,,,,,,,59664,,1501,,
,,,,,,,,,,,,,,59672,,1502,,
,,,,,,,,,,,,,,59673,,1503,,
,,,,,,,,,,,,,,59687,,1504,,
,,,,,,,,,,,,,,59688,,1505,,
,,,,,,,,,,,,,,59689,,1506,,
,,,,,,,,,,,,,,59696,,1507,,
,,,,,,,,,,,,,,59700,,1508,,
,,,,,,,,,,,,,,59719,,1509,,
,,,,,,,,,,,,,,59735,,1510,,
,,,,,,,,,,,,,,59741,,1511,,
,,,,,,,,,,,,,,59753,,1512,,
,,,,,,,,,,,,,,59755,,1513,,
,,,,,,,,,,,,,,59767,,1514,,
,,,,,,,,,,,,,,59778,,1516,,
,,,,,,,,,,,,,,59783,,1518,,
,,,,,,,,,,,,,,59830,,1519,,
,,,,,,,,,,,,,,59884,,1520,,
,,,,,,,,,,,,,,59917,,1521,,
,,,,,,,,,,,,,,59923,,1522,,
,,,,,,,,,,,,,,59924,,1523,,
,,,,,,,,,,,,,,59933,,1524,,
,,,,,,,,,,,,,,59938,,1525,,
,,,,,,,,,,,,,,59965,,1526,,
,,,,,,,,,,,,,,59982,,1527,,
,,,,,,,,,,,,,,60000,,1528,,
,,,,,,,,,,,,,,60010,,1529,,
,,,,,,,,,,,,,,60018,,1530,,
,,,,,,,,,,,,,,60023,,1531,,
,,,,,,,,,,,,,,60040,,1532,,
,,,,,,,,,,,,,,60044,,1534,,
,,,,,,,,,,,,,,60112,,1535,,
,,,,,,,,,,,,,,60167,,1536,,
,,,,,,,,,,,,,,60180,,1537,,
,,,,,,,,,,,,,,60198,,1538,,
,,,,,,,,,,,,,,60206,,1539,,
,,,,,,,,,,,,,,60209,,1540,,
,,,,,,,,,,,,,,60218,,1541,,
,,,,,,,,,,,,,,60237,,1542,,
,,,,,,,,,,,,,,60271,,1543,,
,,,,,,,,,,,,,,60275,,1544,,
,,,,,,,,,,,,,,60287,,1545,,
,,,,,,,,,,,,,,60306,,1546,,
,,,,,,,,,,,,,,60322,,1547,,
,,,,,,,,,,,,,,60325,,1548,,
,,,,,,,,,,,,,,60336,,1549,,
,,,,,,,,,,,,,,60341,,1550,,
,,,,,,,,,,,,,,60368,,1551,,
,,,,,,,,,,,,,,60373,,1552,,
,,,,,,,,,,,,,,60385,,1553,,
,,,,,,,,,,,,,,60410,,1554,,
,,,,,,,,,,,,,,60432,,1555,,
,,,,,,,,,,,,,,60495,,1556,,
,,,,,,,,,,,,,,60527,,1557,,
,,,,,,,,,,,,,,60540,,1558,,
,,,,,,,,,,,,,,60544,,1559,,
,,,,,,,,,,,,,,60591,,1560,,
,,,,,,,,,,,,,,60592,,1561,,
,,,,,,,,,,,,,,60640,,1562,,
,,,,,,,,,,,,,,60655,,1563,,
,,,,,,,,,,,,,,60660,,1564,,
,,,,,,,,,,,,,,60669,,1565,,
,,,,,,,,,,,,,,60677,,1566,,
,,,,,,,,,,,,,,60680,,1567,,
,,,,,,,,,,,,,,60684,,1568,,
,,,,,,,,,,,,,,60685,,1569,,
,,,,,,,,,,,,,,60731,,1570,,
,,,,,,,,,,,,,,60732,,1571,,
,,,,,,,,,,,,,,60736,,1572,,
,,,,,,,,,,,,,,60748,,1573,,
,,,,,,,,,,,,,,60770,,1575,,
,,,,,,,,,,,,,,60774,,1576,,
,,,,,,,,,,,,,,60783,,1577,,
,,,,,,,,,,,,,,60789,,1578,,
,,,,,,,,,,,,,,60799,,1579,,
,,,,,,,,,,,,,,60821,,1580,,
,,,,,,,,,,,,,,60873,,1581,,
,,,,,,,,,,,,,,60884,,1582,,
,,,,,,,,,,,,,,60887,,1583,,
,,,,,,,,,,,,,,60900,,1584,,
,,,,,,,,,,,,,,60908,,1585,,
,,,,,,,,,,,,,,60959,,1586,,
,,,,,,,,,,,,,,61101,,1587,,
,,,,,,,,,,,,,,61135,,1588,,
,,,,,,,,,,,,,,61155,,1589,,
,,,,,,,,,,,,,,61170,,1590,,
,,,,,,,,,,,,,,61173,,1591,,
,,,,,,,,,,,,,,61180,,1592,,
,,,,,,,,,,,,,,61188,,1594,,
,,,,,,,,,,,,,,61203,,1596,,
,,,,,,,,,,,,,,61228,,1597,,
,,,,,,,,,,,,,,61233,,1598,,
,,,,,,,,,,,,,,61261,,1599,,
,,,,,,,,,,,,,,61275,,1600,,
,,,,,,,,,,,,,,61282,,1601,,
,,,,,,,,,,,,,,61283,,1602,,
,,,,,,,,,,,,,,61298,,1603,,
,,,,,,,,,,,,,,61311,,1604,,
,,,,,,,,,,,,,,61328,,1605,,
,,,,,,,,,,,,,,61388,,1606,,
,,,,,,,,,,,,,,61396,,1607,,
,,,,,,,,,,,,,,61471,,1608,,
,,,,,,,,,,,,,,61521,,1609,,
,,,,,,,,,,,,,,61525,,1610,,
,,,,,,,,,,,,,,61531,,1611,,
,,,,,,,,,,,,,,61539,,1612,,
,,,,,,,,,,,,,,61604,,1613,,
,,,,,,,,,,,,,,61678,,1614,,
,,,,,,,,,,,,,,61696,,1615,,
,,,,,,,,,,,,,,61699,,1616,,
,,,,,,,,,,,,,,61744,,1617,,
,,,,,,,,,,,,,,61747,,1618,,
,,,,,,,,,,,,,,61764,,1620,,
,,,,,,,,,,,,,,61806,,1621,,
,,,,,,,,,,,,,,61820,,1622,,
,,,,,,,,,,,,,,61837,,1623,,
,,,,,,,,,,,,,,61879,,1625,,
,,,,,,,,,,,,,,61895,,1626,,
,,,,,,,,,,,,,,61910,,1627,,
,,,,,,,,,,,,,,61914,,1628,,
,,,,,,,,,,,,,,61948,,1629,,
,,,,,,,,,,,,,,61997,,1630,,
,,,,,,,,,,,,,,61999,,1631,,
,,,,,,,,,,,,,,62000,,1632,,
,,,,,,,,,,,,,,62017,,1633,,
,,,,,,,,,,,,,,62023,,1634,,
,,,,,,,,,,,,,,62044,,1635,,
,,,,,,,,,,,,,,62050,,1636,,
,,,,,,,,,,,,,,62053,,1637,,
,,,,,,,,,,,,,,62070,,1638,,
,,,,,,,,,,,,,,62071,,1639,,
,,,,,,,,,,,,,,62082,,1640,,
,,,,,,,,,,,,,,62098,,1641,,
,,,,,,,,,,,,,,62119,,1642,,
,,,,,,,,,,,,,,62120,,1643,,
,,,,,,,,,,,,,,62137,,1644,,
,,,,,,,,,,,,,,62155,,1645,,
,,,,,,,,,,,,,,62170,,1646,,
,,,,,,,,,,,,,,62183,,1647,,
,,,,,,,,,,,,,,62185,,1648,,
,,,,,,,,,,,,,,62186,,1649,,
,,,,,,,,,,,,,,62195,,1650,,
,,,,,,,,,,,,,,62233,,1651,,
,,,,,,,,,,,,,,62266,,1652,,
,,,,,,,,,,,,,,62270,,1653,,
,,,,,,,,,,,,,,62272,,1654,,
,,,,,,,,,,,,,,62280,,1655,,
,,,,,,,,,,,,,,62283,,1656,,
,,,,,,,,,,,,,,62302,,1657,,
,,,,,,,,,,,,,,62314,,1659,,
,,,,,,,,,,,,,,62316,,1660,,
,,,,,,,,,,,,,,62317,,1661,,
,,,,,,,,,,,,,,62342,,1662,,
,,,,,,,,,,,,,,62362,,1664,,
,,,,,,,,,,,,,,62370,,1665,,
,,,,,,,,,,,,,,62371,,1666,,
,,,,,,,,,,,,,,62383,,1667,,
,,,,,,,,,,,,,,62394,,1668,,
,,,,,,,,,,,,,,62432,,1670,,
,,,,,,,,,,,,,,62462,,1671,,
,,,,,,,,,,,,,,62463,,1672,,
,,,,,,,,,,,,,,62488,,1673,,
,,,,,,,,,,,,,,62491,,1674,,
,,,,,,,,,,,,,,62500,,1675,,
,,,,,,,,,,,,,,62515,,1676,,
,,,,,,,,,,,,,,62517,,1677,,
,,,,,,,,,,,,,,62542,,1678,,
,,,,,,,,,,,,,,62550,,1679,,
,,,,,,,,,,,,,,62552,,1680,,
,,,,,,,,,,,,,,62556,,1681,,
,,,,,,,,,,,,,,62585,,1682,,
,,,,,,,,,,,,,,62599,,1683,,
,,,,,,,,,,,,,,62603,,1684,,
,,,,,,,,,,,,,,62605,,1685,,
,,,,,,,,,,,,,,62606,,1686,,
,,,,,,,,,,,,,,62630,,1687,,
,,,,,,,,,,,,,,62635,,1688,,
,,,,,,,,,,,,,,62657,,1689,,
,,,,,,,,,,,,,,62660,,1690,,
,,,,,,,,,,,,,,62707,,1691,,
,,,,,,,,,,,,,,62713,,1692,,
,,,,,,,,,,,,,,62730,,1693,,
,,,,,,,,,,,,,,62756,,1694,,
,,,,,,,,,,,,,,62793,,1695,,
,,,,,,,,,,,,,,62808,,1696,,
,,,,,,,,,,,,,,62829,,1697,,
,,,,,,,,,,,,,,62842,,1698,,
,,,,,,,,,,,,,,62894,,1699,,
,,,,,,,,,,,,,,62900,,1700,,
,,,,,,,,,,,,,,62917,,1701,,
,,,,,,,,,,,,,,62928,,1702,,
,,,,,,,,,,,,,,62934,,1703,,
,,,,,,,,,,,,,,62979,,1704,,
,,,,,,,,,,,,,,63000,,1705,,
,,,,,,,,,,,,,,63003,,1706,,
,,,,,,,,,,,,,,63024,,1707,,
,,,,,,,,,,,,,,63055,,1708,,
,,,,,,,,,,,,,,63082,,1710,,
,,,,,,,,,,,,,,63086,,1711,,
,,,,,,,,,,,,,,63100,,1712,,
,,,,,,,,,,,,,,63103,,1713,,
,,,,,,,,,,,,,,63140,,1714,,
,,,,,,,,,,,,,,63141,,1715,,
,,,,,,,,,,,,,,63171,,1716,,
,,,,,,,,,,,,,,63172,,1717,,
,,,,,,,,,,,,,,63177,,1718,,
,,,,,,,,,,,,,,63198,,1719,,
,,,,,,,,,,,,,,63202,,1720,,
,,,,,,,,,,,,,,63229,,1721,,
,,,,,,,,,,,,,,63240,,1722,,
,,,,,,,,,,,,,,63243,,1723,,
,,,,,,,,,,,,,,63275,,1724,,
,,,,,,,,,,,,,,63312,,1725,,
,,,,,,,,,,,,,,63331,,1726,,
,,,,,,,,,,,,,,63337,,1727,,
,,,,,,,,,,,,,,63343,,1728,,
,,,,,,,,,,,,,,63367,,1729,,
,,,,,,,,,,,,,,63391,,1730,,
,,,,,,,,,,,,,,63431,,1731,,
,,,,,,,,,,,,,,63435,,1732,,
,,,,,,,,,,,,,,63446,,1733,,
,,,,,,,,,,,,,,63447,,1734,,
,,,,,,,,,,,,,,63448,,1735,,
,,,,,,,,,,,,,,63449,,1736,,
,,,,,,,,,,,,,,63472,,1737,,
,,,,,,,,,,,,,,63513,,1738,,
,,,,,,,,,,,,,,63527,,1739,,
,,,,,,,,,,,,,,63531,,1740,,
,,,,,,,,,,,,,,63538,,1741,,
,,,,,,,,,,,,,,63556,,1742,,
,,,,,,,,,,,,,,63571,,1744,,
,,,,,,,,,,,,,,63596,,1745,,
,,,,,,,,,,,,,,63599,,1746,,
,,,,,,,,,,,,,,63631,,1747,,
,,,,,,,,,,,,,,63645,,1748,,
,,,,,,,,,,,,,,63664,,1749,,
,,,,,,,,,,,,,,63668,,1750,,
,,,,,,,,,,,,,,63710,,1751,,
,,,,,,,,,,,,,,63740,,1752,,
,,,,,,,,,,,,,,63743,,1753,,
